Microrregiões;Código;Energia Elétrica\Consumo\Residencial\2008 (MWh);Energia Elétrica\Consumo\Comercial\2008 (MWh);Energia Elétrica\Consumo\Industrial\2008 (MWh);Energia Elétrica\Consumo\Rural\2008 (MWh)
Cachoeira do Sul;430422;68175,218000000008032657206058502197265625;30125,552999999999883584678173065185546875;54239,4659999999930732883512973785400390625;64345,2710000000006402842700481414794921875
Camaquã;430528;50731,8330000000059953890740871429443359375;24399,14199999999618739821016788482666015625;94483,02900000000954605638980865478515625;53146,7879999999931897036731243133544921875
Campanha Central;430630;94299,542000000001280568540096282958984375;39596,164999999993597157299518585205078125;20583,8309999999983119778335094451904296875;25637,43100000000049476511776447296142578125
Campanha Meridional;430631;86051,601999999998952262103557586669921875;32574,48899999999775900505483150482177734375;54639,38899999999557621777057647705078125;43382,637000000002444721758365631103515625
Campanha Ocidental;430629;197889,6929999999701976776123046875;79255,70600000000558793544769287109375;123629,051999999981489963829517364501953125;446513,28399999998509883880615234375
Carazinho;430109;28528,139999999999417923390865325927734375;15774,64700000000084401108324527740478515625;22898,55800000000090221874415874481201171875;33505,3229999999966821633279323577880859375
Caxias do Sul;430216;464452,7180000000516884028911590576171875;311796,9049999999697320163249969482421875;1536216,77099999994970858097076416015625;115747,602999999988242052495479583740234375
Cerro Largo;430106;18091,2319999999963329173624515533447265625;9518,501999999998588464222848415374755859375;9974,9449999999997089616954326629638671875;42588,2830000000030850060284137725830078125
Cruz Alta;430111;65900,71499999999650754034519195556640625;36863,957999999998719431459903717041015625;22813,18899999999484862200915813446044921875;77092,001999999993131496012210845947265625
Erechim;430104;90495,400000000008731149137020111083984375;51823,6929999999920255504548549652099609375;142348,32700000001932494342327117919921875;61816,6569999999992433004081249237060546875
Frederico Westphalen;430103;45347,7320000000108848325908184051513671875;25068,1959999999962747097015380859375;26923,76199999999880674295127391815185546875;86104,487999999997555278241634368896484375
Gramado-Canela;430524;185300,75;106609,699000000007799826562404632568359375;258326,3890000000246800482273101806640625;33465,8939999999929568730294704437255859375
Guaporé;430214;51163,7560000000012223608791828155517578125;26830,73400000000037834979593753814697265625;223950,9569999999948777258396148681640625;66088,363000000012107193470001220703125
Ijuí;430108;16503,30499999999665305949747562408447265625;9315,374000000001615262590348720550537109375;3172,39399999999977808329276740550994873046875;47746,058000000004540197551250457763671875
Jaguarão;430734;24635,436000000001513399183750152587890625;9042,76599999999962165020406246185302734375;4999,345999999999548890627920627593994140625;43109,5319999999992433004081249237060546875
Lajeado-Estrela;430421;121184,3439999999827705323696136474609375;73381,889999999999417923390865325927734375;298336,000000000116415321826934814453125;358255,207999999984167516231536865234375
Litoral Lagunar;430735;150276,565999999991618096828460693359375;97489,470000000015716068446636199951171875;112944,98099999999976716935634613037109375;110035,7609999999986030161380767822265625
Montenegro;430523;104313,396999999982654117047786712646484375;48931,854000000006635673344135284423828125;246897,1729999999515712261199951171875;44534,756999999997788108885288238525390625
Não-Me-Toque;430112;15161,019000000002051820047199726104736328125;9871,877999999998792191036045551300048828125;21901,31200000000171712599694728851318359375;35824,957999999998719431459903717041015625
Osório;430527;287688,610149999964050948619842529296875;115097,06729999996605329215526580810546875;74021,645000000004074536263942718505859375;99805,06434000001172535121440887451171875
Passo Fundo;430110;156450,62700000000768341124057769775390625;114615,099999999991268850862979888916015625;234645,68600000001606531441211700439453125;134440,199000000022351741790771484375
Pelotas;430733;243255,05733000001055188477039337158203125;117276,731000000014319084584712982177734375;169189,57499999998253770172595977783203125;85004,98600000000442378222942352294921875
Porto Alegre;430526;2559010,05064000003039836883544921875;1962556,088750000111758708953857421875;2608608,9064200003631412982940673828125;66005,490369999999529682099819183349609375
Restinga Seca;430319;7096,8830000000007203198038041591644287109375;3274,41100000000051295501179993152618408203125;9151,27200000000084401108324527740478515625;24446,78999999999723513610661029815673828125
Sananduva;430105;17204,52000000000043655745685100555419921875;9217,8499999999985448084771633148193359375;10697,336999999997715349309146404266357421875;23144,41000000000349245965480804443359375
Santa Cruz do Sul;430420;148977,29099999999743886291980743408203125;91775,1359999999986030161380767822265625;235132,714999999967403709888458251953125;106679,5719999999855645000934600830078125
Santa Maria;430318;248657,896999999997206032276153564453125;118582,593999999997322447597980499267578125;64763,699999999997089616954326629638671875;68143,0669999999809078872203826904296875
Santa Rosa;430101;67323,044000000008963979780673980712890625;40963,15499999999883584678173065185546875;89133,89400000000023283064365386962890625;67924,873999999996158294379711151123046875
Santiago;430317;47961,5379999999931897036731243133544921875;19965,15499999999883584678173065185546875;10011,65399999999863211996853351593017578125;34546,976999999998952262103557586669921875
Santo Ângelo;430107;76516,712000000014086253941059112548828125;40555,07899999999790452420711517333984375;73536,74199999999837018549442291259765625;59037,3389999999999417923390865325927734375
São Jerônimo;430525;59130,044739999997545965015888214111328125;18381,917000000001280568540096282958984375;497106,074000000022351741790771484375;44627,873999999996158294379711151123046875
Serras de Sudeste;430732;41496,3489999999874271452426910400390625;14930,53900000000066938810050487518310546875;141760,30799999998998828232288360595703125;22023,677999999999883584678173065185546875
Soledade;430113;15529,47999999999956344254314899444580078125;8638,546000000000276486389338970184326171875;4569,65999999999985448084771633148193359375;16735,53099999999903957359492778778076171875
Três Passos;430102;46598,4469999999928404577076435089111328125;24813,25400000000445288605988025665283203125;60378,835999999995692633092403411865234375;56780,694000000003143213689327239990234375
Vacaria;430215;67420,438999999998486600816249847412109375;52086,5769999999974970705807209014892578125;57857,302999999999883584678173065185546875;43310,5

Fontes:
------------
Distribuidoras de Energia Elétrica do Rio Grande do Sul.:
    Energia Elétrica\Consumo\Residencial\2008 (MWh)
    Energia Elétrica\Consumo\Comercial\2008 (MWh)
    Energia Elétrica\Consumo\Industrial\2008 (MWh)
    Energia Elétrica\Consumo\Rural\2008 (MWh)